Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.019,14.30615165,0.054363376,2.575107296,1.716738197,14.45851216,0.061024893,0.65,0.0065,6.108735492,0.026267563,6.16174099,0.026137385,1.979230299,1.405009163,0.21,0.0021,9.532888465,0.034318398,2.287893232,1.525262154,9.583918017,0.04125796
4,0.028,28.61230329,0.057224607,4.978540773,3.147353362,28.45077253,0.117263519,1.45,0.0088,12.21747098,0.045204643,12.32348198,0.052274771,4.031765425,2.504581552,1.17,0.0117,19.06577693,0.030505243,4.461391802,2.764537655,19.20946616,0.078959199
4,0.028,42.91845494,0.080114449,7.553648069,4.291845494,42.80878398,0.162733047,2.9,0.0232,18.32620648,0.061087355,18.28593769,0.073720831,6.010995724,3.420891875,1.39,0.0117,28.5986654,0.079122974,6.749285033,3.813155386,28.54472831,0.108124309
6,0.043,57.22460658,0.100143062,9.957081545,5.150214592,57.20346209,0.204612876,3.41,0.0277,24.43494197,0.074526573,24.5195785,0.093156323,8.063530849,4.215027489,3.17,0.0288,38.13155386,0.096282173,8.922783603,4.766444233,38.19081983,0.13586673
6,0.047,71.53075823,0.118741059,12.53218884,6.151645207,71.98444921,0.244099571,3.93,0.029,30.54367746,0.086744044,30.71830788,0.111251436,10.04276115,5.009163103,3.34,0.0303,47.66444233,0.110581506,11.21067684,5.624404194,47.63845567,0.159341087
8,0.059,85.83690987,0.134477825,14.93562232,6.86695279,86.17399142,0.2788,5.61,0.0449,36.65241295,0.097739768,36.58789249,0.12733598,12.02199145,5.681124007,4.01,0.0371,57.19733079,0.122974261,13.49857007,6.387035272,57.33850334,0.182104099
