Audience,Frequency,Media,k,g,aud_num,freq_num,media_num,shell_num,inf_point,max_reach,v,mape,inchannel_p,uni_p
A 18-49,1+,OLV - Tier 1,0.2625,0.013,1,1,1,1,300,0.3,1,0.1,1,2
A 25-54,1+,OLV - Tier 1,0.27222222,0.0095,2,1,1,1,300,0.1,1,0.1,1,2
W 25-54,1+,OLV - Tier 1,0.2135,0.013,3,1,1,1,300,0.1,1,0.1,1,2
A 18-49,3+,OLV - Tier 1,0.2428,0.00675,1,2,1,1,300,0.1,1,0.1,1,2
A 25-54,3+,OLV - Tier 1,0.2428,0.00594,2,2,1,1,300,0.1,1,0.1,1,2
W 25-54,3+,OLV - Tier 1,0.22101025,0.007425,3,2,1,1,300,0.1,1,0.1,1,2
A 18-49,5+,OLV - Tier 1,0.2458,0.004875,1,3,1,1,300,,1,0.1,1,2
A 25-54,5+,OLV - Tier 1,0.23395421,0.00461842,2,3,1,1,300,0.1,1,0.1,1,2
W 25-54,5+,OLV - Tier 1,0.21322409,0.00551644,3,3,1,1,300,0.1,1,0.1,1,2
A 18-49,1+,OLV - Tier 2,0.41904,0.01077375,1,1,2,2,300,0.1,1,0.1,1,2
A 25-54,1+,OLV - Tier 2,0.43,0.0095,2,1,2,2,300,0.1,1,0.1,1,2
W 25-54,1+,OLV - Tier 2,0.41904,0.01077375,3,1,2,2,300,0.1,1,0.1,1,2
A 18-49,3+,OLV - Tier 2,0.43,0.00675,1,2,2,2,300,0.1,1,0.1,1,2
A 25-54,3+,OLV - Tier 2,0.4214,0.00675,2,2,2,2,300,0.1,1,0.1,1,2
W 25-54,3+,OLV - Tier 2,0.4214,0.00675,3,2,2,2,300,0.1,1,0.1,1,2
A 18-49,5+,OLV - Tier 2,0.44,0.004875,1,3,2,2,300,0.1,1,0.1,1,2
A 25-54,5+,OLV - Tier 2,0.44,0.004875,2,3,2,2,300,0.1,1,0.1,1,2
W 25-54,5+,OLV - Tier 2,0.44,0.004875,3,3,2,2,300,0.1,1,0.1,1,2
A 18-49,1+,OLV - Tier 3,0.54,0.0095,1,1,3,3,300,0.1,1,0.1,1,2
A 25-54,1+,OLV - Tier 3,0.53,0.009,2,1,3,3,300,0.1,1,0.1,1,2
W 25-54,1+,OLV - Tier 3,0.51072,0.0103275,3,1,3,3,300,0.1,1,0.1,1,2
A 18-49,3+,OLV - Tier 3,0.5984,0.00448,1,2,3,3,300,0.1,1,0.1,1,2
A 25-54,3+,OLV - Tier 3,0.57845333,0.00448,2,2,3,3,300,0.1,1,0.1,1,2
W 25-54,3+,OLV - Tier 3,0.56515555,0.00448,3,2,3,3,300,0.1,1,0.1,1,2
A 18-49,5+,OLV - Tier 3,0.52288,0.004375,1,3,3,3,300,0.1,1,0.1,1,2
A 25-54,5+,OLV - Tier 3,0.49536,0.00471153,2,3,3,3,300,0.1,1,0.1,1,2
W 25-54,5+,OLV - Tier 3,0.484352,0.00471153,3,3,3,3,300,0.1,1,0.1,1,2
A 18-49,1+,Tablet / Mobile,0.312375,0.00896,1,1,4,4,300,0.1,1,0.1,1,2
A 25-54,1+,Tablet / Mobile,0.23275,0.00896,2,1,4,4,300,0.1,1,0.1,1,2
W 25-54,1+,Tablet / Mobile,0.23275,0.00896,3,1,4,4,300,0.1,1,0.1,1,2
A 18-49,3+,Tablet / Mobile,0.2585,0.0091,1,2,4,4,300,0.1,1,0.1,1,2
A 25-54,3+,Tablet / Mobile,0.2035,0.0091,2,2,4,4,300,0.1,1,0.1,1,2
W 25-54,3+,Tablet / Mobile,0.2035,0.0091,3,2,4,4,300,0.1,1,0.1,1,2
A 18-49,5+,Tablet / Mobile,0.22816,0.0063798,1,3,4,4,300,0.1,1,0.1,1,2
A 25-54,5+,Tablet / Mobile,0.18352,0.0082026,2,3,4,4,300,0.1,1,0.1,1,2
W 25-54,5+,Tablet / Mobile,0.18352,0.0082026,3,3,4,4,300,0.1,1,0.1,1,2
A 18-49,1+,TV Non-Primetime,0.91,0.04473118,1,1,5,5,300,0.5,1,0.1,1,2
A 25-54,1+,TV Non-Primetime,0.930960674,0.043010752,2,1,5,5,300,0.5,1,0.1,1,2
W 25-54,1+,TV Non-Primetime,0.91,0.04516129,3,1,5,5,300,0.5,1,0.1,1,2
A 18-49,3+,TV Non-Primetime,0.834672,0.02557041,1,2,5,5,300,0.5,1,0.1,1,2
A 25-54,3+,TV Non-Primetime,0.85785733,0.02655389,2,2,5,5,300,0.5,1,0.1,1,2
W 25-54,3+,TV Non-Primetime,0.853220267,0.02557041,3,2,5,5,300,0.5,1,0.1,1,2
A 18-49,5+,TV Non-Primetime,0.871008,0.01516722,1,3,5,5,300,0.5,1,0.1,1,2
A 25-54,5+,TV Non-Primetime,0.86133013,0.01633393,2,3,5,5,300,0.5,1,0.1,1,2
W 25-54,5+,TV Non-Primetime,0.8419744,0.01516722,3,3,5,5,300,0.5,1,0.1,1,2
A 18-49,1+,TV Primetime,0.92,0.0325161,1,1,6,6,300,0.5,1,0.1,1,2
A 25-54,1+,TV Primetime,0.94,0.0325161,2,1,6,6,300,0.5,1,0.1,1,2
W 25-54,1+,TV Primetime,0.94,0.03509677,3,1,6,6,300,0.5,1,0.1,1,2
A 18-49,3+,TV Primetime,0.82944,0.0325,1,2,6,6,300,0.5,1,0.1,1,2
A 25-54,3+,TV Primetime,0.87552,0.0325,2,2,6,6,300,0.5,1,0.1,1,2
W 25-54,3+,TV Primetime,0.866304,0.035,3,2,6,6,300,0.5,1,0.1,1,2
A 18-49,5+,TV Primetime,0.808464,0.0231,1,3,6,6,300,0.5,1,0.1,1,2
A 25-54,5+,TV Primetime,0.83371476,0.02132307,2,3,6,6,300,0.5,1,0.1,1,2
W 25-54,5+,TV Primetime,0.763549333,0.02665384,3,3,6,6,300,0.5,1,0.1,1,2
