,25-44 F AB,,25-44 F AB,,25-44 F AB,,25-44 F AB,,25-44 F AB
,TV,,TV,,TV,,TV,,TV
,1,,2,,3,,4,,5
,13,,13,,13,,13,,13
0,0,0,0,0,0,0,0,0,0
50,0.364,50,0.093,50,0.02,50,0.008,50,0.006
100,0.517,100,0.248,100,0.114,100,0.051,100,0.023
150,0.594,150,0.356,150,0.215,150,0.127,150,0.074
200,0.64,200,0.43,200,0.295,200,0.201,200,0.135
250,0.672,250,0.482,250,0.356,250,0.263,250,0.193
300,0.696,300,0.522,300,0.403,300,0.314,300,0.244
350,0.713,350,0.553,350,0.441,350,0.356,350,0.287
400,0.725,400,0.576,400,0.471,400,0.389,400,0.323
450,0.737,450,0.598,450,0.497,450,0.419,450,0.355
500,0.748,500,0.615,500,0.521,500,0.445,500,0.383
550,0.756,550,0.63,550,0.542,550,0.468,550,0.407
600,0.764,600,0.643,600,0.559,600,0.488,600,0.429
650,0.771,650,0.655,650,0.574,650,0.506,650,0.449
700,0.776,700,0.665,700,0.587,700,0.522,700,0.466
750,0.782,750,0.674,750,0.599,750,0.536,750,0.482
800,0.787,800,0.683,800,0.61,800,0.55,800,0.497
850,0.791,850,0.69,850,0.619,850,0.563,850,0.51
900,0.795,900,0.697,900,0.629,900,0.574,900,0.522
950,0.798,950,0.704,950,0.637,950,0.583,950,0.534
1000,0.802,1000,0.71,1000,0.645,1000,0.592,1000,0.545
1050,0.805,1050,0.715,1050,0.652,1050,0.6,1050,0.556
